@type,sku,image,name,aggregateRating.@type,aggregateRating.ratingValue,aggregateRating.reviewCount,aggregateRating.bestRating,aggregateRating.worstRating,brand.@type,brand.name,offers.@type,offers.availability,offers.price,offers.priceCurrency,offers.url
Product,324284,https://media.falabella.com/sodimacCO/324284/public,Cerradura Electronica Tarjeta YMF30,AggregateRating,2,2,5,1,brand,YALE,Offer,http://schema.org/InStock,1247900,COP,/homecenter-co/product/324284/cerradura-electronica-tarjeta-ymf30/324284/
Product,662809,https://media.falabella.com/sodimacCO/662809/public,Cerradura Digital Yale Conexión a Wifi Ydm60 Kit,,,,,,brand,YALE,Offer,http://schema.org/InStock,1522900,COP,/homecenter-co/product/662809/cerradura-digital-yale-conexion-a-wifi-ydm60-kit/662809/
Product,3003063,https://media.falabella.com/sodimacCO/3003063/public,Cerradura Digital Inteligente de Alta Seguridad Ilock Ls008 Con Apertura Por Wifi. Huella. Tarjeta. Clave de Acceso y Llave.,,,,,,brand,Domoticol,Offer,http://schema.org/InStock,999900,COP,/homecenter-co/product/3003063/cerradura-digital-inteligente-de-alta-seguridad-ilock-ls008-con-apertura-por-wifi-huella-tarjeta-clave-de-acceso-y-llave/3003063/
Product,700734,https://media.falabella.com/sodimacCO/700734/public,Cerradura Digital Tpsh Slim 3D,AggregateRating,4.5,2,5,1,brand,Smartlock,Offer,http://schema.org/InStock,1369900,COP,/homecenter-co/product/700734/cerradura-digital-tpsh-slim-3d/700734/
Product,583991,https://media.falabella.com/sodimacCO/583991/public,Cerrojo Digital Yale Real Living Con Manija De Apertura,AggregateRating,4,2,5,1,brand,YALE,Offer,http://schema.org/InStock,802900,COP,/homecenter-co/product/583991/cerrojo-digital-yale-real-living-con-manija-de-apertura/583991/
Product,3006906,https://media.falabella.com/sodimacCO/3006906/public,Cerradura Smart Digital con Cámara y Batería de Litio Hxc-16 Set X 4 Unidades,,,,,,brand,Hexa,Offer,http://schema.org/InStock,2447900,COP,/homecenter-co/product/3006305/cerradura-smart-digital-con-camara-y-bateria-de-litio-hxc-16-set-x-4-unidades/3006906/
Product,732983,https://media.falabella.com/sodimacCO/732983/public,Cerradura Digital Principal Hc321 Plus,AggregateRating,4.3333,3,5,1,brand,Mh Security Locks,Offer,http://schema.org/InStock,679900,COP,/homecenter-co/product/732983/cerradura-digital-principal-hc321-plus/732983/
Product,3005920,https://media.falabella.com/sodimacCO/3005920/public,Cerradura Digital Colors 5 mod Apertura Gris,,,,,,brand,Smartlock,Offer,http://schema.org/InStock,399900,COP,/homecenter-co/product/3005920/cerradura-digital-colors-5-mod-apertura-gris/3005920/
Product,594350,https://media.falabella.com/sodimacCO/594350/public,Cerradura Digital Ysd100 60mm Yale,,,,,,brand,YALE,Offer,http://schema.org/InStock,1123900,COP,/homecenter-co/product/594350/cerradura-digital-ysd100-60mm-yale/594350/
Product,307982,https://media.falabella.com/sodimacCO/307982/public,Cerradura Digital Biométrica manija Ymf40,,,,,,brand,YALE,Offer,http://schema.org/InStock,2305500,COP,/homecenter-co/product/307982/cerradura-digital-biometrica-manija-ymf40/307982/
Product,776578,https://media.falabella.com/sodimacCO/776578/public,Cerradura Inteligente 5 Modos Apertura Xenon 37Cm,AggregateRating,4,1,5,1,brand,Vta +,Offer,http://schema.org/InStock,539900,COP,/homecenter-co/product/776578/cerradura-inteligente-5-modos-apertura-xenon-37cm/776578/
Product,707935,https://media.falabella.com/sodimacCO/707935/public,Cerradura Yale Digital Ymc420 W + Kit Yale Connect.,,,,,,brand,YALE,Offer,http://schema.org/InStock,1349900,COP,/homecenter-co/product/707935/cerradura-yale-digital-ymc420-w-kit-yale-connect/707935/
Product,542577,https://media.falabella.com/sodimacCO/542577/public,Cerradura Digital 5 Aperturas Tpsh260 Tps,AggregateRating,4.3333,6,5,1,brand,Smartlock,Offer,http://schema.org/InStock,834900,COP,/homecenter-co/product/542577/cerradura-digital-5-aperturas-tpsh260-tps/542577/
Product,686314,https://media.falabella.com/sodimacCO/686314/public,Cerradura Inteligente Con Reconocimiento Facial 3D Hexa 6 modos De Apertura Vta,AggregateRating,5,3,5,1,brand,Vta +,Offer,http://schema.org/InStock,1199900,COP,/homecenter-co/product/686314/cerradura-inteligente-con-reconocimiento-facial-3d-hexa-6-modos-de-apertura-vta/686314/
Product,732984,https://media.falabella.com/sodimacCO/732984/public,Cerradura Digital Reconocimiento Facial Hc721 Plus,AggregateRating,3,2,5,1,brand,Mh Security Locks,Offer,http://schema.org/InStock,1139900,COP,/homecenter-co/product/732984/cerradura-digital-reconocimiento-facial-hc721-plus/732984/
Product,328525,https://media.falabella.com/sodimacCO/328525/public,Kit Cerradura Digital Ymf 40 + Yale Connect Hub,AggregateRating,3,2,5,1,brand,YALE,Offer,http://schema.org/InStock,2218900,COP,/homecenter-co/product/328525/kit-cerradura-digital-ymf-40-yale-connect-hub/328525/
Product,545092,https://media.falabella.com/sodimacCO/545092/public,Cerradura Digital Inteligente Negra/Silver 8010,AggregateRating,5,1,5,1,brand,Zerrutti,Offer,http://schema.org/InStock,1115900,COP,/homecenter-co/product/545092/cerradura-digital-inteligente-negra-silver-8010/545092/
Product,3026070,https://media.falabella.com/sodimacCO/3026070/public,Cerradura Inteligente Elite Sl2000l para Puertas de Hasta 6cm de Ancho.,,,,,,brand,Elite,Offer,http://schema.org/InStock,216900,COP,/homecenter-co/product/3026070/cerradura-inteligente-elite-sl2000l-para-puertas-de-hasta-6cm-de-ancho/3026070/
Product,738938,https://media.falabella.com/sodimacCO/738938/public,Cerradura De Seguridad Inteligente Wifi Ezviz Dl03,,,,,,brand,Ezviz,Offer,http://schema.org/InStock,289900,COP,/homecenter-co/product/738938/cerradura-de-seguridad-inteligente-wifi-ezviz-dl03/738938/
